管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項	
北海道労働局	平成29年９月30日	大建土木（株）	北海道旭川市	H29.3.23	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害の発生状況を偽った労働者死傷病報告を提出したもの	H29.3.23送検	
北海道労働局	平成29年９月30日	（有）市木　　	北海道旭川市	H29.3.23	労働安全衛生法第61条,労働安全衛生法施行令第20条,ボイラー及び圧力容器安全規則第23条,	ボイラーの取扱いの作業を無資格の労働者に行わせたもの	H29.3.23送検	
北海道労働局	平成29年９月30日	三雄建設（株）	北海道樺戸郡浦臼町	H29.4.24	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害の発生状況を偽った労働者死傷病報告を提出したもの	H29.4.24送検	
北海道労働局	平成29年９月30日	松浦建設（株）	北海道岩見沢市	H29.4.24	労働安全衛生法第31条,労働安全衛生規則第653条	高さ９ｍの開口部付近において、開口部に覆い等を設けることなく請負人の労働者に作業を行わせたもの	H29.4.24送検	
北海道労働局	平成29年９月30日	竹田建設工業（株）	北海道美唄市	H29.4.24	労働安全衛生法第21条,労働安全衛生規則第519条	高さ９ｍの開口部付近において、開口部に覆い等を設けることなく労働者に作業を行わせたもの	H29.4.24送検	
北海道労働局	平成29年９月30日	（株）清水組	北海道上川郡美瑛町	H29.5.17	労働安全衛生法第22条,労働安全衛生規則第577条	換気装置を設けることなく練炭を燃焼させた構造物内に労働者を立ち入らせて作業を行わせたもの	H29.5.17送検	
北海道労働局	平成29年９月30日	（株）自動車検査場	北海道旭川市	H29.6.15	労働安全衛生法第61条,労働安全衛生法施行令第20条	トラクター・ショベルの運転を無資格の労働者に行わせたもの	H29.6.15送検	
北海道労働局	平成29年９月30日	函館山ロープウェイ（株）	北海道函館市	H29.6.21	労働安全衛生法第20条,労働安全衛生規則第107条	ロープウェイの滑車の清掃作業を行わせるに当たり、作業者以外の者がロープウェイを運転しないよう起動装置を施錠する等の措置を講じなかったもの	H29.6.21送検	
北海道労働局	平成29年９月30日	遠別初山別森林組合	北海道天塩郡遠別町	H29.6.21	労働安全衛生法第21条,労働安全衛生規則第477条	伐倒の際にかかり木を取り除くことなく労働者に伐木作業を行わせたもの	H29.6.21送検	
北海道労働局	平成29年９月30日	（株）檜山鐵工所	北海道旭川市	H29.6.23	労働安全衛生法第20条,労働安全衛生規則第250条	溶融している鉄を取り扱う工場建屋について水蒸気爆発を防止する構造としなかったもの	H29.6.23送検	
北海道労働局	平成29年９月30日	（株）トラクション	北海道札幌市厚別区	H29.7.4	労働安全衛生法第20条,労働安全衛生規則第564条,労働者派遣法第45条	足場の組立ての範囲等を周知することなく労働者に足場の組立て作業を行わせたもの	H29.7.4送検	
北海道労働局	平成29年９月30日	野田工業（株）	北海道札幌市中央区	H29.9.13	労働安全衛生法第21条,労働安全衛生規則第518条	高さ5.2ｍの橋桁の上で、作業床を設けることなく労働者に補修作業を行わせたもの	H29.9.13送検	
北海道労働局	平成29年９月30日	（株）丸ヨ吉住商店	北海道雨竜郡沼田町	H29.9.25	労働安全衛生法第21条,労働安全衛生規則第519条	高さ6.6ｍの屋根上で、安全帯を使用させることなく労働者にせっぴを落とす作業を行わせたもの	H29.9.25送検	
青森労働局	平成29年６月30日	（株）高松工業	青森県五所川原市	H29.1.27	労働安全衛生法第31条,労働安全衛生規則第653条	高さ約３ｍの作業床の端に手すり等を設けることなく、下請負人の労働者に作業を行わせたもの	H29.1.27送検	
青森労働局	平成29年６月30日	星和工業（株）　青森営業所	青森県下北郡東通村	H29.2.27	労働安全衛生法第31条,労働安全衛生規則第653条	高さ約23ｍの作業床の端に手すり等を設けることなく、下請負人の労働者に作業を行わせたもの	H29.2.27送検	
青森労働局	平成29年６月30日	（有）村田組	青森県むつ市	H29.2.27	労働安全衛生法第21条,労働安全衛生規則第519条,労働者派遣法第45条	高さ約23ｍの作業床の端に手すり等を設けることなく、労働者に作業を行わせたもの	H29.2.27送検	
青森労働局	平成29年６月30日	（株）ファミリー住宅	青森県八戸市	H29.3.3	最低賃金法第４条	労働者２名に、１か月分の定期賃金合計約71万円を支払わなかったもの	H29.3.3送検	
青森労働局	平成29年６月30日	（株）高橋商事　弘前営業所	青森県弘前市	H29.3.7	労働安全衛生法第61条,労働安全衛生法施行令第20条	ドラム缶のガス溶断作業を行わせるに当たり、法令で定める資格を有しない労働者に作業を行わせたもの	H29.3.7送検	
青森労働局	平成29年６月30日	（株）黄金崎不老不死温泉	青森県西津軽郡深浦町	H29.4.14	労働基準法第32条	労働者23名に、36協定の締結・届出なく違法な時間外・休日労働を行わせたもの	H29.4.14送検	
青森労働局	平成29年６月30日	（有）幸福の寿し本舗	青森県青森市	H29.5.11	労働基準法第32条	労働者11名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.5.11送検	
青森労働局	平成29年６月30日	（有）福士建設	青森県北津軽郡中泊町	H29.6.9	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害の発生状況を偽った労働者死傷病報告を提出したもの	H29.6.9送検	
岩手労働局	平成29年９月30日	（有）グリーン総業	岩手県一関市	H28.10.20	労働安全衛生法第20条,労働安全衛生規則第151条の78	非常の場合に直ちにコンベヤーの運転を停止することができる非常停止装置を備えていなかったもの	H28.10.20送検	
岩手労働局	平成29年９月30日	觸澤林業	岩手県岩手郡葛巻町	H28.11.1	労働安全衛生法第20条,労働安全衛生規則第151条の95	車両系木材伐出機械で取り扱う伐倒木への接触防止のための立入禁止措置を講じていなかったもの	H28.11.1送検	
岩手労働局	平成29年９月30日	東北緑生（株）	岩手県北上市	H28.12.5	労働安全衛生法第59条,労働安全衛生規則第36条	車両系伐木機械の運転操作の作業に従事させる際に、特別教育を行っていなかったもの	H28.12.5送検	
岩手労働局	平成29年９月30日	（株）木村架設工業	岩手県釜石市	H29.5.18	労働安全衛生法第20条,労働安全衛生規則第158条,労働者派遣法第45条	車両系建設機械との接触防止措置（立入禁止措置、誘導員の配置）を講じていなかったもの	H29.5.18送検	
岩手労働局	平成29年９月30日	大野造園	岩手県花巻市東和町	H29.5.18	労働安全衛生法第21条,労働安全衛生規則第518条	高さ２ｍ以上で作業床を設けることが困難な作業において、墜落による危険防止措置を講じていなかったもの	H29.5.18送検	H29.6.29不起訴（起訴猶予）
岩手労働局	平成29年９月30日	（有）ローカルサービス	岩手県盛岡市	H29.6.13	労働安全衛生法第20条,労働安全衛生規則第151条の14	車両系荷役運搬機械（フォークリフト）を主たる用途以外の用途に使用したもの	H29.6.13送検	
岩手労働局	平成29年９月30日	横山工業（株）	岐阜県可児市	H29.9.8	労働安全衛生法第100条,労働安全衛生規則第97条	72日間の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.9.8送検	
宮城労働局	平成29年８月31日	（株）弘幸興業	宮城県仙台市青葉区	H29.2.13	労働安全衛生法第20条,労働安全衛生規則第563条	工事現場において、高さ約４ｍの足場上で手すり等を設けることなく、労働者に作業させたもの	H29.2.13送検	
宮城労働局	平成29年８月31日	（有）武山住宅	宮城県石巻市	H29.3.13	労働安全衛生法第21条,労働安全衛生規則第519条	木造住宅建築工事現場において、墜落防止措置を講じないまま労働者に２階の床板敷設作業を行わせたもの	H29.3.13送検	
宮城労働局	平成29年８月31日	東北ニチモウ（株）	宮城県塩釜市	H29.8.1	労働安全衛生法第21条,労働安全衛生規則第519条	工場２階床に設置された蓋を取り外す作業を行わせるに際し、労働者に安全帯を使用させなかったもの	H29.8.1送検	
秋田労働局	平成29年９月30日	ＮＳ通信	秋田県男鹿市	H28.10.20	労働安全衛生法第61条,労働安全衛生法施行令第20条	高所作業車の技能講習を修了していない者に高所作業車を運転させ、立木の剪定作業等を行わせたもの	H28.10.20送検	
秋田労働局	平成29年９月30日	丹波企画	秋田県山本郡八峰町	H28.12.16	労働安全衛生法第21条,労働安全衛生規則第519条	労働者に安全帯を使用させることなく１階屋根上で外壁の補修作業を行わせたもの	H28.12.16送検	
秋田労働局	平成29年９月30日	晴沢板金工業	秋田県鹿角市	H29.2.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約６ｍの２階屋根軒先に手すり等を設けることなく労働者にトタンの葺き替え作業を行わせたもの	H29.2.13送検	
秋田労働局	平成29年９月30日	あきた湖東農業協同組合	秋田県南秋田郡五城目町	H29.3.13	労働基準法第32条	労働者３名に、36協定の延長時間を超える違法な時間外・休日労働を行わせたもの	H29.3.13送検	H29.8.22不起訴（起訴猶予）
秋田労働局	平成29年９月30日	（株）スズキ部品秋田	秋田県南秋田郡井川町	H29.3.14	労働安全衛生法第20条,クレーン等安全規則第25条	クレーンの運転についての合図を定めることなくクレーンを用いての荷下ろし作業を行わせたもの	H29.3.14送検	"
H29.7.13不起訴（起訴猶予）"
秋田労働局	平成29年９月30日	山崎ダイカスト（株）	神奈川県横浜市港北区	H29.5.29	労働基準法第32条	秋田県内の２工場で、労働者４名に36協定の延長時間を超えた違法な時間外・休日労働を行わせたもの	H29.5.29送検	
秋田労働局	平成29年９月30日	（有）エスエス興産	秋田県秋田市	H29.7.20	労働安全衛生法第22条,石綿障害予防規則第３条	石綿の有無を事前調査することなく建物の解体作業を行わせたもの	H29.7.20送検	
秋田労働局	平成29年９月30日	佐藤建設（株）	秋田県由利本荘市	H29.9.20	労働安全衛生法第20条,クレーン等安全規則第66条の２	移動式クレーンの作業の方法等を定めることなく、荷のつり上げ作業を行わせたもの	H29.9.20送検	
山形労働局	平成29年９月30日	設楽建設興業（株）	山形県西村山郡西川町	H29.1.24	労働安全衛生法第20条,労働安全衛生規則第563条	高さ２ｍ以上の足場において労働者に作業を行わせるに際し、手すり等を設けていなかったもの	H29.1.24送検	
山形労働局	平成29年９月30日	（株）東北緑地造苑	山形県東置賜郡川西町	H29.6.22	労働安全衛生法第20条,労働安全衛生規則第164条	掘削用のドラグ・ショベルを主たる用途以外の用途（荷のつり上げ作業）に使用したもの	H29.6.22送検	
山形労働局	平成29年９月30日	マルカ特殊基礎工事	山形県新庄市	H29.6.23	労働安全衛生法第20条,労働安全衛生規則第151条の78	非常の場合に直ちにコンベヤーの運転を停止することができる装置を備えていなかったもの	H29.6.23送検	
山形労働局	平成29年９月30日	（株）Ｆ．Ｉ	山形県最上郡戸沢村	H29.7.7	労働基準法第37条	技能実習生９名に、１か月間の時間外労働の割増賃金合計約104万円を支払わなかったもの	H29.7.7送検	
山形労働局	平成29年９月30日	さくらんぼソーイング	山形県最上郡戸沢村	H29.7.7	労働基準法第37条	技能実習生５名に、１か月間の時間外労働の割増賃金合計約58万円を支払わなかったもの	H29.7.7送検	
山形労働局	平成29年９月30日	Ａｌｉｃｅ（株）	山形県鶴岡市	H29.9.1	最低賃金法第４条	労働者３名に、１か月間の定期賃金合計約34万円を支払わなかったもの	H29.9.1送検	
山形労働局	平成29年９月30日	（株）樹建築工房	山形県鶴岡市	H29.9.1	最低賃金法第４条	労働者２名に、２か月間の定期賃金合計約32万円を支払わなかったもの	H29.9.1送検	
福島労働局	平成29年９月30日	（有）スペースワン	福島県須賀川市	H28.11.1	労働安全衛生法第100条,労働安全衛生規則第97条	２件の労働災害について、「事務所敷地内で脚立から転落して怪我をした」と虚偽の報告を行ったもの	H28.11.1送検	
福島労働局	平成29年９月30日	ゼルテック東北	福島県二本松市	H28.11.24	労働安全衛生法第59条,労働安全衛生規則第36条	労働者に、法令で定める除染等業務特別教育を行わずに除染業務に就かせたもの	H28.11.24送検	H29.3.31不起訴
福島労働局	平成29年９月30日	（株）三本木製作所	福島県郡山市	H29.1.13	労働安全衛生法第20条,労働安全衛生規則第131条	プレス機械の安全装置を無効化したまま作業を行わせ、労働者１名が右手指を切断する災害を発生させたもの	H29.1.13送検	
福島労働局	平成29年９月30日	（有）玄蕃商店	福島県いわき市	H29.1.17	労働安全衛生法第20条,労働安全衛生規則第151条の７	フォークリフトへの接触を防ぐ措置を講じなかった結果、労働者１人が轢かれて死亡する災害を発生させたもの	H29.1.17送検	
福島労働局	平成29年９月30日	石嶋商事	福島県田村市	H29.2.8	労働安全衛生法第20条,労働安全衛生規則第151条の89	作業計画及び安全教育を行わず作業させ、労働者１名が集材車の下敷きとなり死亡する災害を発生させたもの	H29.2.8送検	
福島労働局	平成29年９月30日	ナル・コーポレーション（株）	福島県福島市	H29.2.20	最低賃金法第４条	労働者３名に、９か月間の定期賃金合計約230万円を支払わなかったもの	H29.2.20送検	
福島労働局	平成29年９月30日	（株）メカテック	福島県喜多方市	H29.3.17	労働基準法第32条	労働者７名に、36協定の延長時間を超える違法な時間外・休日労働を行わせたもの	H29.3.17送検	
福島労働局	平成29年９月30日	（有）カネマン	福島県会津若松市	H29.3.30	労働安全衛生法第100条,労働安全衛生規則第97条	労働者が両足を骨折した災害について、災害の発生場所や態様について虚偽の報告を行ったもの	H29.3.30送検	
福島労働局	平成29年９月30日	（株）郡山第一園芸	福島県郡山市	H29.6.20	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.6.20送検	
福島労働局	平成29年９月30日	山一総業（株）	福島県いわき市	H29.8.1	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が２件発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H29.8.1送検	
福島労働局	平成29年９月30日	（有）雲藤工建	福島県いわき市	H29.9.12	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.9.12送検	
福島労働局	平成29年９月30日	（株）ＩＨＩ物流産業システム	東京都江東区	H29.9.13	労働安全衛生法第31条,労働安全衛生規則第653条	高さ12.5ｍの作業床の端に手すり等を設けることなく、下請負人の労働者に作業を行わせたもの	H29.9.13送検	
福島労働局	平成29年９月30日	（株）エス・ケイ・イー	茨城県水戸市	H29.9.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ12.5ｍの作業床の端に手すり等を設けることなく、労働者に作業を行わせたもの	H29.9.13送検	
茨城労働局	平成29年９月30日	大協樹脂（株）　茨城工場	茨城県鉾田市	H28.10.4	労働安全衛生法第100条,労働安全衛生規則第97条	印刷工場内で発生した複数の休業４日以上の労働災害について、労働者死傷病報告書を提出しなかったもの	H28.10.4送検	
茨城労働局	平成29年９月30日	（株）沼崎商事	茨城県稲敷郡美浦村	H28.11.16	労働安全衛生法第100条,労働安全衛生規則第97条	建設現場で発生した休業４日以上の労働災害について、発生場所を偽った労働者死傷病報告書を提出したもの	H28.11.16送検	
茨城労働局	平成29年９月30日	（有）タキシマ工業	東京都練馬区	H28.11.16	労働安全衛生法第31条,労働安全衛生規則第653条	防水工事現場で下請労働者に高さ２ｍ以上の場所で、囲い・手すり等を設けず作業を行わせたもの	H28.11.16送検	
茨城労働局	平成29年９月30日	清水工業	埼玉県新座市	H28.11.16	労働安全衛生法第21条,労働安全衛生規則第519条,労働者派遣法第45条	防水工事現場で労働者に高さ２ｍ以上の場所で、囲い・手すり等を設けず作業を行わせたもの	H28.11.16送検	
茨城労働局	平成29年９月30日	（株）茨城計算センター	茨城県日立市	H29.8.18	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.8.18送検	
茨城労働局	平成29年９月30日	三山工業（株）	群馬県前橋市	H29.8.18	労働安全衛生法第20条,労働安全衛生規則第151条の95	車両系木材伐出機械を用いて作業を行う際に接触防止のための立入禁止措置を講じていなかったもの	H29.8.18送検	
茨城労働局	平成29年９月30日	黎明環境美化	茨城県土浦市	H29.9.20	労働安全衛生法第21条,労働安全衛生規則第518条	樹木伐採現場において、高さ5.9ｍのはしごの上で、安全帯を使用させることなく労働者に作業を行わせたもの	H29.9.20送検	
栃木労働局	平成29年８月31日	（株）双葉	栃木県鹿沼市	H29.1.20	労働安全衛生法第20条,労働安全衛生規則第107条	給油作業を行わせるに当たり、ベルトコンベヤーの運転を停止しなかったもの	H29.1.20送検	
栃木労働局	平成29年８月31日	（株）ニューナス	栃木県那須塩原市	H29.2.23	労働安全衛生法第61条,労働安全衛生法施行令第20条,労働安全衛生規則第41条	無資格の労働者にトラクターショベルを運転させたもの	H29.2.23送検	
栃木労働局	平成29年８月31日	（株）ニッコークリエート	栃木県栃木市	H29.3.15	労働安全衛生法第20条,労働安全衛生規則第28条	産業用ロボットの安全装置が有効に保持されていなかったもの	H29.3.15送検	
栃木労働局	平成29年８月31日	（同）ＰＬｕｃｋ	栃木県大田原市	H29.8.29	最低賃金法第４条	労働者６名に、３か月間から９か月間の定期賃金合計約1 090万円を支払わなかったもの	H29.8.29送検	
群馬労働局	平成29年４月18日	（有）トップメタル	群馬県前橋市	H28.11.18	労働安全衛生法第20条,労働安全衛生規則第151条の10	貨物自動車に荷の積み込み作業を行わせるに当たり、偏荷重が生じないように積載しなかったもの	H28.11.18送検	
群馬労働局	平成29年４月18日	（株）グルメデリカ	東京都調布市	H28.11.29	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H28.11.29送検	
群馬労働局	平成29年４月18日	（有）新治電気	群馬県利根郡みなかみ町	H29.2.16	労働安全衛生法第61条,労働安全衛生法施行令第20条	法令で定める資格を有しない労働者を機体の重量が３トンを超えるドラグ・ショベルの運転の業務に就かせたもの	H29.2.16送検	
群馬労働局	平成29年４月18日	（株）子持工芸	群馬県渋川市	H29.3.22	最低賃金法第４条	労働者２名に、１か月間の定期賃金合計約30万円を支払わず、群馬県最低賃金以上の賃金を支払わなかったもの	H29.3.22送検	
埼玉労働局	平成29年９月30日	精機工業（株）	埼玉県さいたま市桜区	H29.3.2	最低賃金法第４条	労働者10名に、２か月間の定期賃金合計約200万円を支払わなかったもの	H29.3.2送検	
埼玉労働局	平成29年９月30日	（株）メリット	埼玉県川越市	H29.3.2	労働基準法第32条	外国人技能実習生を含む労働者７名に、違法な時間外労働を行わせたもの	H29.3.2送検	
埼玉労働局	平成29年９月30日	旭段ボール（株）	埼玉県さいたま市岩槻区	H29.4.25	労働安全衛生法第20条,労働安全衛生規則第107条	機械の調整作業を労働者に行わせるに際し、当該機械の停止をさせなかったもの	H29.4.25送検	
埼玉労働局	平成29年９月30日	（株）ＣＭＳ	埼玉県春日部市	H29.4.28	最低賃金法第４条	労働者に、２か月間の定期賃金を支払わなかったもの	H29.4.24送検	
埼玉労働局	平成29年９月30日	矢吹炉研（株）	東京都荒川区	H29.7.12	労働安全衛生法第21条,労働安全衛生規則第532条の２	ホッパー内で労働者に作業を行わせるに際し、埋没危険防止措置を講じなかったもの	H29.7.12送検	
埼玉労働局	平成29年９月30日	大橋工業（株）	埼玉県児玉郡上里町	H29.7.24	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者にフォークリフトを運転させたもの	H29.7.24送検	
埼玉労働局	平成29年９月30日	（株）山栄運輸　戸田営業所	埼玉県戸田市	H29.9.1	労働安全衛生法第20条,労働安全衛生規則第151条の14	労働者にフォークリフトの用途以外の用途に使用させたもの	H29.9.1送検	
千葉労働局	平成29年９月30日	（株）荒井工務店	千葉県市原市	H28.11.7	労働安全衛生法第21条,労働安全衛生規則第518条	高さ2.98ｍの梁の上で防網を張り、安全帯を使用させず労働者に作業を行わせていたもの	H28.11.7送検	
千葉労働局	平成29年９月30日	（株）キョウエイ　本社工場	千葉県八千代市	H28.11.18	労働安全衛生法第61条,労働安全衛生法施行令第20条,労働者派遣法第45条	2.8トンのクレーンを使用させるに当たり、玉掛技能講習を修了していない労働者を就かせていたもの	H28.11.18送検	
千葉労働局	平成29年９月30日	鈴木板金工業（株）	東京都墨田区	H29.1.13	労働安全衛生法第21条,労働安全衛生規則第524条	スレート屋根修理作業において、歩み板を設ける等踏み抜きによる労働者の危険を防止していなかったもの	H29.1.13送検	
千葉労働局	平成29年９月30日	（有）レックス	千葉県白井市	H29.3.3	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害により４日以上休業したにもかかわらず、労働者死傷病報告書を提出していなかったもの	H29.3.3送検	
千葉労働局	平成29年９月30日	（有）高井商事	東京都江戸川区	H29.3.3	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害により４日以上休業したにもかかわらず、労働者死傷病報告書を提出していなかったもの	H29.3.3送検	
千葉労働局	平成29年９月30日	（株）兼子　船橋営業所	千葉県船橋市	H29.3.13	労働安全衛生法第20条,労働安全衛生規則第107条	古紙の圧縮梱包機の掃除を行わせるに当たり、当該機械の運転を停止させなかったもの	H29.3.13送検	
千葉労働局	平成29年９月30日	（株）米本造園土木	千葉県八千代市	H29.5.8	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害により４日以上休業したが、事実と異なる内容の労働者死傷病報告書を提出したもの	H29.5.8送検	
千葉労働局	平成29年９月30日	関東西部運輸（株）　本社	千葉県野田市	H29.5.10	労働基準法第32条	労働者４名に、36協定の延長時間を超えて違法な時間外・休日労働を行わせていたもの	H29.5.10送検	
千葉労働局	平成29年９月30日	Ａ．Ｇ’ｓ‐ＢＵＩＬＤ（株）	東京都葛飾区	H29.9.7	労働安全衛生法第21条,労働安全衛生規則第519条	高さ3.06ｍの玄関ひさしの端に手すり等を設けることなく労働者に作業を行わせたもの	H29.9.7送検	
千葉労働局	平成29年９月30日	（株）ワールドラップ	千葉県船橋市	H29.9.7	労働安全衛生法第20条,労働安全衛生規則第151条の7	フォークリフトを使用して荷卸し作業を行わせるに当たり、走行進路内に労働者を立ち入らせたもの	H29.9.7送検	
東京労働局	平成29年９月30日	優秀塗装（株）	北海道岩見沢市	H28.12.27	労働安全衛生法第23条,労働安全衛生規則第540条	橋梁に設置されたつり足場上に安全な通路を設けていなかったもの	H28.12.27送検	
東京労働局	平成29年９月30日	（株）電通	東京都港区	H28.12.28	労働基準法第32条	労働者２名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H28.12.28送検	H29.7.5起訴
東京労働局	平成29年９月30日	（株）伸光舎	東京都八王子市	H29.1.25	最低賃金法第４条	知的障害のある労働者３名に、東京都最低賃金を下回る賃金しか支払わなかったもの	H29.1.25送検	
東京労働局	平成29年９月30日	（株）丸建興業	東京都杉並区	H29.2.15	労働安全衛生法第20条,クレーン等安全規則第74条の２	移動式クレーンで作業を行うに当たり、ワイヤロープで１箇所に玉掛けした荷の下に労働者を立ち入らせたもの	H29.2.15送検	
東京労働局	平成29年９月30日	ヤマトオートワークス（株）　西東京工場	東京都昭島市	H29.2.21	労働安全衛生法第20条,労働安全衛生規則第151条の７	貨物自動車に接触するおそれがある箇所に労働者を立ち入らせたもの	H29.2.21送検	
東京労働局	平成29年９月30日	ＳＴＡＲ　ＲＯＣＫ　ＣＯＭＰＡＮＹ（株）	東京都町田市	H29.3.13	労働基準法第40条	労働者２名に、36協定を締結しないまま違法な時間外労働を行わせたもの	H29.3.13送検	
東京労働局	平成29年９月30日	（有）スカイ物流	東京都東村山市	H29.3.29	労働基準法第32条	労働者７名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.3.29送検	
東京労働局	平成29年９月30日	三研工業（株）	神奈川県藤沢市	H29.5.19	労働安全衛生法第100条,労働安全衛生規則第97条	休業見込み40日の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.5.19送検	
東京労働局	平成29年９月30日	（有）北葉塗装	千葉県市原市	H29.6.2	労働安全衛生法第20条,労働安全衛生規則第279条	爆発が生ずるおそれのあるタンク内部で、点火源となるおそれのある送風機を使用させたもの	H29.6.2送検	
東京労働局	平成29年９月30日	（株）エイチ・アイ・エス	東京都新宿区	H29.6.14	労働基準法第32条	東京都内の２事業場において、労働者２名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.6.14送検	
東京労働局	平成29年９月30日	かんの工業（株）	東京都西東京市	H29.6.14	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.6.14送検	
東京労働局	平成29年９月30日	（有）南街園	東京都東大和市	H29.7.6	労働安全衛生法第20条,労働安全衛生規則第194条の11	高所作業車の転倒を防止するため、地盤を水平かつ堅固に保つための措置を講じなかったもの	H29.7.6送検	
東京労働局	平成29年９月30日	（株）ケイ・セクション	神奈川県相模原市緑区	H29.7.18	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.7.18送検	
東京労働局	平成29年９月30日	（株）大勝	神奈川県横浜市西区	H29.8.25	労働安全衛生法第20条,労働安全衛生規則第157条	傾斜地のコンクリートガラ上で、誘導者を配置することなく解体用車両系建設機械を用いて作業を行わせたもの	H29.8.24送検	
