管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項
北海道労働局	平成31年2月28日	（株）三浦興産	北海道日高郡新ひだか町	H31.1.17	労働安全衛生法第59条,労働安全衛生規則第36条	特別教育を行うことなく、労働者に走行集材機械の運転の業務を行わせたもの	H31.1.17送検
北海道労働局	平成31年2月28日	（株）谷口農場	北海道旭川市	H31.1.18	労働安全衛生法第20条,労働安全衛生規則第107条	食料品加工施設の充填機の運転を停止せず、労働者に清掃作業を行わせたもの	H31.1.18送検
北海道労働局	平成31年2月28日	カルビーポテト（株）	北海道帯広市	H31.1.18	労働安全衛生法第20条,労働安全衛生規則第151条の４	作業指揮者に作業の指揮を行わせることなく、フォークリフトを用いて作業を行わせたもの	H31.1.18送検
北海道労働局	平成31年2月28日	陸別町農業協同組合	北海道足寄郡陸別町	H31.1.23	労働安全衛生法第20条,労働安全衛生規則第162条	トラクター・ショベルのバケットに労働者を乗せて作業を行わせたもの	H31.1.23送検
青森労働局	平成31年2月28日	（株）大地不動産	青森県八戸市	H30.3.1	最低賃金法第４条	労働者１名に、３か月分の定期賃金合計60 万円を支払わなかったもの	H30.3.1送検
青森労働局	平成31年2月28日	地盤工事（株）	青森県青森市	H30.5.7	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害の発生状況を偽った労働者死傷病報告を提出したもの	H30.5.7送検
青森労働局	平成31年2月28日	（有）ク・トー　六戸作業所	青森県上北郡おいらせ町	H30.5.8	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格であるのにドラグショベルを運転したもの	H30.5.8送検
青森労働局	平成31年2月28日	北相産業（有）	青森県東津軽郡今別町	H30.6.6	労働安全衛生法第20条,労働安全衛生規則第164条	ドラグショベルを主たる用途以外の用途（荷の吊り上げ）に使用したもの	H30.6.6送検
岩手労働局	平成31年2月28日	東北フローズン（株）	岩手県一関市	H30.3.1	労働基準法第32条	労働者４名に、36協定の締結・届出なく、違法な時間外労働を行わせたもの	H30.3.1送検,H30.8.14有罪確定
岩手労働局	平成31年2月28日	東北ビルド（株）	岩手県一関市	H30.3.9	労働安全衛生法第100条,労働安全衛生規則第96条	移動式クレーンの転倒事故が発生したにも拘らず、事故報告書を提出しなかったもの	H30.3.9送検,H30.7.21有罪確定
岩手労働局	平成31年2月28日	（株）宮城運輸	宮城県名取市	H30.6.13	労働基準法第32条	労働者７名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.6.13送検
岩手労働局	平成31年2月28日	（株）ヤマウチ	岩手県宮古市	H30.7.9	労働安全衛生法第61条,労働安全衛生施行令第20条	つり上げ荷重１トン以上の移動式クレーンの玉掛業務に無資格者を就労させたもの	H30.7.9送検,H30.10.6有罪確定
岩手労働局	平成31年2月28日	（有）岩手ハツリ工業	岩手県盛岡市	H30.7.10	労働安全衛生法第22条,石綿障害予防規則第６条	ビル解体工事において、吹き付けられた石綿を除去する作業場所を隔離せずに解体作業を行ったもの	H30.7.10送検,H30.11.26不起訴
岩手労働局	平成31年2月28日	（株）志田産業	岩手県大船渡市	H30.7.19	労働安全衛生法第20条,労働安全衛生規則第151条の３	フォークリフトを用いて作業を行うにあたり、あらかじめ作業計画を定めなかったもの	H30.7.19送検,H30.9.12有罪確定
岩手労働局	平成31年2月28日	（有）スタンス	岐阜県各務原市	H30.9.20	労働安全衛生法第20条,労働安全衛生規則第151条の７	トラックに接触するおそれのある箇所に労働者を立ち入らせたもの	H30.9.20送検,H31.1.22有罪確定
岩手労働局	平成31年2月28日	みちのく商事	岩手県久慈市	H30.10.4	労働安全衛生法第21条,労働安全衛生規則第537条	倉庫移設作業において、木材の落下にによる危険を防止するための必要な措置を講じていなかったもの	H30.10.4送検,H30.11.17有罪確定
岩手労働局	平成31年2月28日	（有）與羽電気工業	岩手県二戸郡一戸町	H30.10.12	最低賃金法第４条	労働者４名に、１か月間の定期賃金合計約32万円を支払わなかったもの	H30.10.12送検 H30.10.26不起訴
岩手労働局	平成31年2月28日	（有）川崎重機	岩手県一関市	H30.10.19	労働安全衛生法第20条,労働安全衛生規則第155条	車両系建設機械を使用する作業において、あらかじめ作業計画を定めていなかったもの	H30.10.19送検,H30.12.18有罪確定
岩手労働局	平成31年2月28日	共栄板金工業（株）	岩手県九戸郡洋野町	H31.2.4	労働安全衛生法第21条,労働安全衛生規則第524条	スレート屋根の吹き替え作業を行うにあたり、屋根上に歩み板等を設けることなく、作業を行わせたもの	H31.2.4送検
岩手労働局	平成31年2月28日	刈屋建設（株）	岩手県宮古市	H31.2.4	労働安全衛生法第31条,労働安全衛生規則第654条	墜落の危険のある架設通路に手すり等必要な設備を設けていなかったもの	H31.2.4送検
岩手労働局	平成31年2月28日	北城重機興業（有）	青森県八戸市	H31.2.4	労働安全衛生法第20条,労働安全衛生規則第552条	墜落の危険のある架設通路に手すり等必要な設備を設けていなかったもの	H31.2.4送検
宮城労働局	平成31年2月28日	星野技建	栃木県宇都宮市	H30.3.9	労働安全衛生法第21条,労働安全衛生規則第518条	車庫建設工事現場において、高さ約3.2ｍの箇所で作業床を設けることなく、作業を行わせたもの	H30.3.9送検
宮城労働局	平成31年2月28日	福島基礎工業（株）	福島県福島市	H30.3.23	労働安全衛生法第20条,労働安全衛生規則第192条	くい打機について、巻上げ用ワイヤロープの取付状態に異常がないことを確認しないまま、使用させたもの	H30.3.23送検
宮城労働局	平成31年2月28日	まるじんストアー	宮城県加美郡加美町	H30.9.18	最低賃金法第４条	労働者７名に、６か月間の定期賃金合計約63万円を支払わなかったもの	H30.9.18送検
宮城労働局	平成31年2月28日	（株）オオウチ工芸	宮城県仙台市若林区	H30.11.1	労働基準法第32条	労働者28名に、36協定の締結なく、違法な時間外労働を行わせたもの	H30.11.1送検
宮城労働局	平成31年2月28日	白鳥産業	宮城県栗原市	H30.11.9	労働安全衛生法第61条,労働安全衛生法施行令第20条,クレーン等安全規則第68条	無資格者の労働者に移動式クレーンを運転させたもの	H30.11.9送検
宮城労働局	平成31年2月28日	（有）ｉ’ｚｆｉｔｔｉｎｇｓ	宮城県仙台市宮城野区	H31.1.16	労働安全衛生法第21条,労働安全衛生規則第519条	高さ3.4ｍの作業床に墜落防止措置を講じることなく労働者に作業を行わせたもの	H31.1.16送検
宮城労働局	平成31年2月28日	小宮山印刷工業（株）	東京都新宿区	H31.2.7	労働基準法第32条	労働者1名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H31.2.7送検
秋田労働局	平成31年2月28日	（有）加藤四郎商店	秋田県秋田市	H30.3.9	労働安全衛生法第59条,労働安全衛生規則第36条	クレーンの運転の業務に、特別教育を実施していない労働者を就かせたもの	H30.3.9送検
秋田労働局	平成31年2月28日	（株）ＳＡＴＯＢＡＮ	秋田県秋田市	H30.3.19	労働安全衛生法第21条,労働安全衛生規則第519条	労働者に高さ約６ｍの２階屋根上で、安全帯を使用させることなく屋根の葺き替え作業を行わせたもの	H30.3.19送検
秋田労働局	平成31年2月28日	（株）隆斗建工	秋田県大仙市	H31.2.7	最低賃金法第４条	労働者８名に、３か月間の定期賃金合計約108万円を支払わなかったもの	H31.2.7送検
山形労働局	平成31年2月28日	廣野板金加工所	山形県新庄市	H30.3.23	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約2.7ｍの屋根の上でトタン板の葺き替え作業を行わせるに際し、屋根に手すり等を設けていなかったもの	H30.3.23送検
山形労働局	平成31年2月28日	（株）鈴木組	山形県最上郡大蔵村	H30.3.23	労働安全衛生法第20条,労働安全衛生規則第104条	ロータリ除雪車の除雪装置の運転を、一定の合図を定めず、また、合図する者を示さず再開させたもの	H30.3.23送検
山形労働局	平成31年2月28日	（株）丸羽ロジテック	茨城県ひたちなか市	H30.9.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ9.95ｍの搬出口付近で作業を行わせるに際し、囲いを設ける等の措置を講じなかったこと	H30.9.13送検
山形労働局	平成31年2月28日	（株）タカマサフーズ	山形県最上郡真室川町	H30.9.20	最低賃金法第４条	労働者４名に、11か月間の定期賃金合計約238万円を支払わなかったもの	H30.9.20送検
山形労働局	平成31年2月28日	（株）現代民家	山形県酒田市	H30.11.12	労働安全衛生法第31条,労働安全衛生規則第653条	下請負人の労働者に、高さ約３ｍの作業床の端で作業を行わせるに際し、囲い等を設けなかったもの	H30.11.12送検
山形労働局	平成31年2月28日	佐藤住建	山形県鶴岡市	H30.11.12	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの作業床の端で柱の取り付け作業を行わせるに際し、囲い等を設けなかったもの	H30.11.12送検
山形労働局	平成31年2月28日	羽前絹練（株）	山形県鶴岡市	H30.12.18	労働安全衛生法第20条,労働安全衛生規則第144条	ロールプレス機のロールに付着した汚れの拭取り作業を行わせる際に、囲いガイドロール等を設けなかったもの	H30.12.18送検
山形労働局	平成31年2月28日	吉田工務店	山形県長井市	H31.2.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ3.5ｍの作業床の端で結束バンドを切る作業を行わせるに際し、安全帯を使用させる等の措置を講じなかったもの	H31.2.13送検
山形労働局	平成31年2月28日	（同）小野重機	山形県新庄市	H31.2.13	労働安全衛生法第20条,クレーン等安全規則第66条の２	移動式クレーンで作業を行わせる際、作業方法等をあらかじめ定めていなかったもの	H31.2.13送検
福島労働局	平成31年2月28日	松岡建設（株）	福島県南相馬市	H30.3.20	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H30.3.20送検
福島労働局	平成31年2月28日	（有）イーズ・サービス	福島県郡山市	H30.9.20	労働安全衛生法第20条,労働安全衛生規則第151条の13	フォークリフトの乗車席以外の箇所に労働者を乗車させたもの	H30.9.20送検
福島労働局	平成31年2月28日	東栄架設	福島県白河市	H30.10.11	労働基準法第62条,年少者労働基準規則第８条	満18歳に満たない者に、禁止されている足場の解体作業を行わせたもの	H30.10.11送検
福島労働局	平成31年2月28日	サトウ加工（有）	福島県須賀川市	H30.11.8	労働安全衛生法第66条,労働安全衛生規則第44条	労働者に対し、１年以内ごとに１回、定期に、法定の項目について医師による健康診断を受診させなかったもの	H30.11.8送検
福島労働局	平成31年2月28日	（株）新栄建設	福島県郡山市	H31.2.8	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H31.2.8送検
福島労働局	平成31年2月28日	（株）葉山商会	福島県郡山市	H31.2.19	労働安全衛生法第20条,クレーン等安全規則第74条	クレーン機能付きドラグ・ショベルの上部旋回体の旋回範囲内に労働者を立ち入らせたもの	H31.2.19送検
茨城労働局	平成31年2月28日	岡プレス工業	茨城県常総市	H30.3.1	労働安全衛生法第20条,労働安全衛生規則第131条	プレス機械を用いて労働者に作業を行わせる際に身体の一部が危険限界に入らないような措置を講じなかったこと	H30.3.1 送検,H30.10.12有罪確定
茨城労働局	平成31年2月28日	（株）飯島管工	茨城県つくばみらい市	H30.3.15	労働安全衛生法第61条,労働安全衛生法施行令第20条,クレーン等安全規則第68条	無資格の労働者に移動式クレーンを運転させたもの	H30.3.15 送検
茨城労働局	平成31年2月28日	美穂運輸（株）　筑西営業所	茨城県筑西市	H30.7.6	労働基準法第32条	労働者３名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.7.6 送検
茨城労働局	平成31年2月28日	Ｌ＆Ｍ	茨城県下妻市	H30.7.18	労働基準法第101条	労働者基準監督官が臨検した際に、虚偽の賃金台帳及びタイムカードを提出したもの	H30.7.18 送検
茨城労働局	平成31年2月28日	松田建築解体	茨城県結城郡八千代町	H30.8.15	労働安全衛生法第21条,労働安全衛生規則第519条	高さ２ｍ以上の作業床の端で、墜落防止措置をとることなく労働者に作業を行わせたもの	H30.8.15 送検
茨城労働局	平成31年2月28日	茨城宝栄工業（株）	茨城県古河市	H30.9.21	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.9.21 送検
茨城労働局	平成31年2月28日	忠伸建築	茨城県那珂市	H30.10.17	労働安全衛生法第21条,労働安全衛生規則第518条	高さ２ｍ以上の足場板上で、防網を張る等の墜落防止措置を講じず、作業を行わせていたもの	H30.10.17 送検
茨城労働局	平成31年2月28日	（株）嘉和	茨城県古河市	H30.11.1	労働基準法第32条	労働者１名に、36協定を締結していないにもかかわらず、違法な時間外労働を行わせたもの	H30.11.1 送検
茨城労働局	平成31年2月28日	（同）冨田工業	茨城県小美玉市	H30.12.10	労働安全衛生法第21条,労働安全衛生規則第361条	地山の崩壊等による危険の防止措置を講じないまま、労働者に明り掘削作業を行わせていたもの	H30.12.10 送検
茨城労働局	平成31年2月28日	（株）トラバース　埼玉営業所	埼玉県戸田市	H30.12.10	労働安全衛生法第20条,労働安全衛生規則第101条	地盤調査機の回転軸に覆い等を設けることなく労働者に作業を行わせたもの	H30.12.10 送検
茨城労働局	平成31年2月28日	前田建築	茨城県那珂郡東海村	H31.1.17	労働安全衛生法第21条,労働安全衛生規則第518条	高さ２ｍ以上の足場板上で、防網を張る等の墜落防止措置を講じず、作業を行わせていたもの	H31.1.17 送検
茨城労働局	平成31年2月28日	（株）オルト	茨城県神栖市	H31.1.18	最低賃金法第４条	労働者14名に、１か月間の定期賃金合計約118万円を支払わなかったもの	H31.1.18 送検
茨城労働局	平成31年2月28日	鹿島港湾運送（株）	茨城県神栖市	H31.2.1	労働安全衛生法第20条,クレーン等安全規則第74条の２	移動式クレーンによってつり上げられた荷の下に労働者を立ち入らせたもの	H31.2.1 送検
茨城労働局	平成31年2月28日	（株）ユノー	茨城県高萩市	H31.2.1	最低賃金法第４条	労働者９名に、１か月間の定期賃金合計約73万円を支払わなかったもの	H31.2.1 送検
茨城労働局	平成31年2月28日	（有）糸賀建設興業	茨城県稲敷郡河内町	H31.2.20	労働安全衛生法第20条,労働安全衛生規則第158条	運転中の車両系建設機械に接触するおそれのある箇所に労働者を立ち入らせたもの	H31.2.20 送検
栃木労働局	平成31年2月28日	杉本産業（株）	栃木県小山市	H30.9.4	労働安全衛生法第23条,労働安全衛生規則第540条	１階から２階作業場へ通ずる階段について、墜落防止措置を講じることなく、通路として使用させていたもの	H30.9.4送検
栃木労働局	平成31年2月28日	（株）加藤工業所　栃窪工場	栃木県鹿沼市	H30.9.13	労働安全衛生法第20条,労働安全衛生規則第151条の78	コンベヤーについて労働者の身体の一部が巻きこまれるおそれがあるのに、非常停止装置を備えていなかったもの	H30.9.13送検
栃木労働局	平成31年2月28日	竹内産業（株）　足利工場	栃木県足利市	H30.12.7	労働安全衛生法第20条,労働安全衛生規則第107条	プラスチック製品製造機械の運転を停止させることなく、労働者に当該機械の掃除の作業を行わせたもの	H30.12.7送検
栃木労働局	平成31年2月28日	（株）三愛ビルサービス	栃木県宇都宮市	H31.1.10	労働安全衛生法第22条,労働安全衛生規則第576条	温泉貯湯槽内を十分に換気するといった措置を講じることなく、労働者に温泉水等除去作業を行わせたもの	H31.1.10送検
栃木労働局	平成31年2月28日	（有）トライメイド　平川工場	栃木県栃木市	H31.2.19	労働安全衛生法第14条,労働安全衛生規則第134条	プレス機械作業を行わせる際、作業主任者に安全装置の切替えスイッチのキーを保管させていなかったもの	H31.2.19送検
群馬労働局	平成31年2月28日	（株）飯塚組	群馬県北群馬郡吉岡町	H30.3.23	労働安全衛生法第22条,労働安全衛生規則第578条	自然換気が不十分な利根川横断暗渠で、換気をすることなく内燃機関を有する高圧洗浄機を使用したもの	H30.3.23送検,H30.12.20有罪確定
群馬労働局	平成31年2月28日	（株）森井運輸倉庫	群馬県伊勢崎市	H30.3.27	労働安全衛生法第26条,労働安全衛生規則第151条の11	貨物自動車の運転位置から離れるにあたり、逸走を防止するための措置を講じなかったもの	H30.3.27送検,H30.7.28有罪確定
群馬労働局	平成31年2月28日	（株）セイエイ	埼玉県比企郡嵐山町	H30.7.4	労働安全衛生法第21条,労働安全衛生規則第524条	高さ4.25ｍの屋根上で、踏み抜きによる墜落防止措置を講じることなく、労働者に作業をさせたこと	H30.7.4送検,H30.12.25有罪確定
群馬労働局	平成31年2月28日	（株）笛木製菓	群馬県利根郡みなかみ町	H31.1.9	最低賃金法第４条	労働者７名に、８カ月間の定期賃金合計約846万円を支払わなかったもの	H31.1.9送検
群馬労働局	平成31年2月28日	（有）武京商会	群馬県前橋市	H31.2.20	労働安全衛生法第20条,労働安全衛生規則第101条	機械のチェーンに覆い等を設けなかったもの	H31.2.20送検
埼玉労働局	平成31年2月28日	（有）羽山興業	千葉県千葉市中央区	H30.6.5	労働安全衛生法第61条,労働安全衛生法施行令第20条	フォークリフトを無資格で運転したもの	H30.6.5送検
埼玉労働局	平成31年2月28日	（株）木下フレンド	埼玉県所沢市	H30.9.11	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者にフォークリフトを運転させたもの	H30.9.11送検
埼玉労働局	平成31年2月28日	（有）サッケン	埼玉県入間市	H30.9.19	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約3ｍの開口部に囲い等を設けることなく労働者に作業を行わせたもの	H30.9.19送検
埼玉労働局	平成31年2月28日	中央ブレーキ製作所	埼玉県越谷市	H30.9.19	労働安全衛生法第55条,労働安全衛生法施行令第16条	石綿を重量の約26パーセント含有するブレーキライニングを製造したもの	H30.9.19送検
埼玉労働局	平成31年2月28日	テックエンジニアリング（有）	埼玉県熊谷市	H30.10.17	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約2.6ｍの作業床の端及び開口部に、手すり、覆い等を設けることなく労働者に作業を行わせたもの	H30.10.17送検
埼玉労働局	平成31年2月28日	末吉工業（株）	埼玉県北足立郡伊奈町	H31.1.9	労働基準法第32条	労働者５名に、違法な時間外労働を行わせたもの	H31.1.9送検
埼玉労働局	平成31年2月28日	（株）トウエイ	埼玉県川口市	H31.1.11	最低賃金法第４条	労働者13名に、４か月分の定期賃金合計430万円を支払わなかったもの	H31.1.11送検
千葉労働局	平成31年2月28日	（株）大石建設	千葉県八街市	H30.3.14	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出していなかったもの	H30.3.14送検
千葉労働局	平成31年2月28日	（株）明正建設	千葉県成田市	H30.3.14	労働安全衛生法第21条,労働安全衛生規則第534条	地山の崩壊による危険があるのに土止め支保工を設置することなく労働者を掘削溝に立ち入らせたもの	H30.3.14送検
千葉労働局	平成31年2月28日	（株）北部市場運送	千葉県船橋市	H30.3.20	労働基準法第32条	労働者13名に、有効な36協定の締結なく違法な時間外労働を行わせていたもの	H30.3.20送検
千葉労働局	平成31年2月28日	（有）光和工業	千葉県千葉市稲毛区	H30.3.20	労働安全衛生法第20条,労働安全衛生規則第111条	ボール盤の回転する刃物に作業中の労働者の手が巻き込まれるおそれがあるのに手袋を使用させていたもの	H30.3.20送検
千葉労働局	平成31年2月28日	（有）ケーアイコーポレーション	千葉県木更津市	H30.7.13	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したが、虚偽の労働者死傷病報告書を提出したもの	H30.7.13送検
千葉労働局	平成31年2月28日	（株）協立工業	千葉県君津市	H30.7.13	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出していなかったもの	H30.7.13送検
千葉労働局	平成31年2月28日	（有）鈴木安太郎商店	千葉県旭市	H31.1.10	労働安全衛生法第20条,労働安全衛生規則第107条	魚類加工用機械の掃除を行わせるに当たり、当該機械の運転を停止させなかったもの	H31.1.10送検
千葉労働局	平成31年2月28日	（株）フルカウント	千葉県千葉市花見川区	H31.1.10	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出していなかったもの	H31.1.10送検
千葉労働局	平成31年2月28日	（有）アクトコーポレーション	千葉県東金市	H31.1.11	労働基準法第32条	労働者１名に、36協定の締結・届出なく違法な時間外労働を行わせていたもの	H31.1.11送検
千葉労働局	平成31年2月28日	北島塗装店	千葉県四街道市	H31.2.12	労働安全衛生法第21条,労働安全衛生規則第519条	高さ6.59ｍの屋根の端に手すり等を設けることなく労働者に作業を行わせたもの	H31.2.12送検
千葉労働局	平成31年2月28日	キムラ工業（株）	千葉県市川市	H31.2.19	労働安全衛生法第20条,労働安全衛生規則第151条の78	コンベヤーに労働者の身体の一部が巻き込まれるおそれがあるのに非常停止装置を備えていなかったもの	H31.2.19送検
東京労働局	平成31年2月28日	（株）イーエスピー	東京都羽村市	H30.7.20	労働基準法第32条	労働者８名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.7.20送検,H30.8.3起訴,H30.8.18有罪確定
東京労働局	平成31年2月28日	（株）不二興建	埼玉県八潮市	H30.8.10	労働安全衛生法第100条,労働安全衛生規則第97条	休業約２か月間の労働災害が発生したが、遅滞なく労働者死傷病報告書を提出しなかったもの	H30.8.10送検
東京労働局	平成31年2月28日	宿利工務店（株）	埼玉県さいたま市桜区	H30.8.17	労働安全衛生法第100条,労働安全衛生規則第97条	休業約３か月間の労働災害が発生したが、遅滞なく労働者死傷病報告書を提出しなかったもの	H30.8.17送検
東京労働局	平成31年2月28日	（株）リバイブ	東京都江戸川区	H30.9.13	労働安全衛生法第20条,労働安全衛生規則第164条	車両系建設機械（ブレーカ）を用いて作業を行わせるに当たり、主たる用途以外の用途に使用させていたもの	H30.9.13送検
東京労働局	平成31年2月28日	（有）奥原工芸	東京都江戸川区	H30.11.9	労働安全衛生法第20条,労働安全衛生規則第123条	木材加工用丸のこ盤を使用させるに当たり、歯の接触予防装置を設けないで使用させていたもの	H30.11.9送検
東京労働局	平成31年2月28日	ジャパンプロテクション（株）	東京都千代田区	H30.11.9	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.11.9送検
東京労働局	平成31年2月28日	（株）大和建設	東京都葛飾区	H30.11.15	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの２階開口部で、手すり等を設けることなく労働者に作業を行わせたもの	H30.11.15送検
東京労働局	平成31年2月28日	（株）大実製作所	東京都品川区	H30.11.29	労働安全衛生法第20条,労働安全衛生規則第101条	ＮＣ旋盤機を用いて作業を行わせるに当たり、回転部分に、覆い、囲い等を設けないで使用させていたもの	H30.11.29送検
東京労働局	平成31年2月28日	高田電設（株）	東京都新宿区	H30.12.12	労働安全衛生法第20条,労働安全衛生規則第369条	土止め支保工の構造について、地山に係る形状、地質等の状態に応じた堅固なものとしていなかったもの	H30.12.12送検
東京労働局	平成31年2月28日	（株）Ｏｇａｗａ　Ｔｅｃ．	神奈川県鎌倉市	H30.12.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの作業床で、手すり等を設けることなく労働者に作業を行わせたもの	H30.12.13送検
東京労働局	平成31年2月28日	（株）神谷工務店	東京都足立区	H30.12.14	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者につり上げ荷重１トン以上の移動式クレーンの玉掛けの業務をさせたもの	H30.12.14送検
東京労働局	平成31年2月28日	（有）新宿丸正野邊	東京都中野区	H31.1.9	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H31.1.9送検
東京労働局	平成31年2月28日	タストン・リサイクル（株）	東京都世田谷区	H31.1.16	労働安全衛生法第20条,労働安全衛生規則第107条	機械の運転を停止することなく労働者にコンクリート破砕機の歯の調整作業を行わせたもの	H31.1.16送検
東京労働局	平成31年2月28日	（株）栄伸建設	東京都武蔵野市	H31.1.18	労働安全衛生法第31条,労働安全衛生規則第653条	高さ約３ｍの作業床に手すり等を設けることなく請負人の労働者に使用させたもの	H31.1.18送検
東京労働局	平成31年2月28日	三和リバコン（株）	東京都世田谷区	H31.1.18	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの作業床で、手すり等を設けることなく労働者に作業を行わせたもの	H31.1.18送検
東京労働局	平成31年2月28日	（有）市川板金工業	東京都世田谷区	H31.1.22	労働安全衛生法第20条,労働安全衛生法施行令第13条	構造規格を具備していないエレベーターを労働者に使用させたもの	H31.1.22送検
東京労働局	平成31年2月28日	泉流通（株）	東京都練馬区	H31.1.30	労働基準法第32条	労働者２名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H31.1.30送検
東京労働局	平成31年2月28日	（株）大東運輸	東京都江東区	H31.2.13	労働安全衛生法第20条,労働安全衛生規則第101条	ベルトコンベヤーのベルト及びプーリーに、覆いや囲いなどを設置することなく労働者に作業を行わせたもの	H31.2.13送検
東京労働局	平成31年2月28日	北川工業（株）	千葉県流山市	H31.2.15	労働安全衛生法第22条,石綿障害予防規則第３条	石綿使用の有無をあらかじめ調査、記録することなく、労働者に建築物の解体作業を行わせたもの	H31.2.15送検
