管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項
北海道労働局	平成31年3月31日	ＭＫリフォーム	北海道函館市	H31.1.11	労働安全衛生法第20条,労働安全衛生規則第563条	高さ3.0ｍの足場に手すり等を設けることなく労働者に作業を行わせたもの	H31.1.11送検
北海道労働局	平成31年3月31日	（株）三浦興産	北海道日高郡新ひだか町	H31.1.17	労働安全衛生法第59条,労働安全衛生規則第36条	特別教育を行うことなく、労働者に走行集材機械の運転の業務を行わせたもの	H31.1.17送検
北海道労働局	平成31年3月31日	（株）谷口農場	北海道旭川市	H31.1.18	労働安全衛生法第20条,労働安全衛生規則第107条	食料品加工施設の充填機の運転を停止せず、労働者に清掃作業を行わせたもの	H31.1.18送検
北海道労働局	平成31年3月31日	カルビーポテト（株）	北海道帯広市	H31.1.18	労働安全衛生法第20条,労働安全衛生規則第151条の４	作業指揮者に作業の指揮を行わせることなく、フォークリフトを用いて作業を行わせたもの	H31.1.18送検
北海道労働局	平成31年3月31日	陸別町農業協同組合	北海道足寄郡陸別町	H31.1.23	労働安全衛生法第20条,労働安全衛生規則第162条	トラクター・ショベルのバケットに労働者を乗せて作業を行わせたもの	H31.1.23送検
北海道労働局	平成31年3月31日	（有）川村工務店	北海道礼文郡礼文町	H31.3.12	労働安全衛生法第21条,労働安全衛生規則第519条	高さ5.4ｍの屋根上で、手すり等を設けることなく労働者に作業を行わせたもの	H31.3.12送検
北海道労働局	平成31年3月31日	（株）石崎商店	北海道稚内市	H31.3.12	労働基準法第24条	労働者１名に、３か月間の定期賃金を支払わなかったもの	H31.3.12送検
北海道労働局	平成31年3月31日	（株）ファイングレーン	北海道旭川市	H31.3.18	最低賃金法第４条	労働者１名に、１か月間の定期賃金約24万円を支払わなかったもの	H31.3.18送検
北海道労働局	平成31年3月31日	北海機材工業（株）	北海道札幌市中央区	H31.3.19	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H31.3.19送検
北海道労働局	平成31年3月31日	（株）ヒートスリー	北海道札幌市東区	H31.3.19	最低賃金法第４条	労働者８名に、１か月間の定期賃金約90万円を支払わなかったもの	H31.3.19送検
北海道労働局	平成31年3月31日	長距離激安代行	北海道札幌市東区	H31.3.19	労働基準法第37条	労働者に対し、深夜労働に係る割増賃金を支払わなかったもの	H31.3.19送検
北海道労働局	平成31年3月31日	佐呂間開発工業（株）	北海道佐呂間郡佐呂間町	H31.3.19	労働安全衛生法第20条,労働安全衛生規則第158条	ドラグ・ショベルに接触するおそれがある箇所に労働者を立ち入らせたもの	H31.3.19送検
北海道労働局	平成31年3月31日	テンフォー名寄店	北海道名寄市	H31.3.20	最低賃金法第４条	労働者１名に、13か月間の定期賃金約235 万円を支払わなかったもの	H31.3.20送検
北海道労働局	平成31年3月31日	（株）サンクフルオール	北海道函館市	H31.3.22	最低賃金法第４条	労働者１名に、１か月間の定期賃金約６万円を支払わなかったもの	H31.3.22送検
北海道労働局	平成31年3月31日	野坂工業（株）	北海道帯広市	H31.3.25	労働安全衛生法第21条,労働安全衛生規則第518条	高さ6.4ｍの鋼材の上で、作業床を設けることなく労働者に作業を行わせたもの	H31.3.25送検
北海道労働局	平成31年3月31日	（株）ダイヤ	秋田県大仙市	H31.3.26	労働安全衛生法第30条,労働安全衛生規則第636条	元請と下請の労働者の作業が同一の場所で行われる際に、労働災害防止のための連絡調整を行わなかったもの	H31.3.26送検
北海道労働局	平成31年3月31日	奈良建設	北海道函館市	H31.3.26	労働安全衛生法第21条,労働安全衛生規則第518条	高さ5.8ｍの梁の上で、作業床を設けることなく労働者に作業を行わせたもの	H31.3.26送検
青森労働局	平成31年3月31日	地盤工事（株）	青森県青森市	H30.5.7	労働安全衛生法第100条,労働安全衛生規則第97条	労働災害の発生状況を偽った労働者死傷病報告を提出したもの	H30.5.7送検
青森労働局	平成31年3月31日	（有）ク・トー　六戸作業所	青森県上北郡おいらせ町	H30.5.8	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格であるのにドラグショベルを運転したもの	H30.5.8送検
青森労働局	平成31年3月31日	北相産業（有）	青森県東津軽郡今別町	H30.6.6	労働安全衛生法第20条,労働安全衛生規則第164条	ドラグショベルを主たる用途以外の用途（荷の吊り上げ）に使用したもの	H30.6.6送検
青森労働局	平成31年3月31日	（株）サン企画	青森県八戸市	H31.3.6	労働基準法第37条	技能実習生３名に、１か月分の時間外及び休日労働の割増賃金を支払わなかったもの	H31.3.6送検
岩手労働局	平成31年3月31日	（株）宮城運輸	宮城県名取市	H30.6.13	労働基準法第32条	労働者７名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.6.13送検
岩手労働局	平成31年3月31日	（株）ヤマウチ	岩手県宮古市	H30.7.9	労働安全衛生法第61条,労働安全衛生施行令第20条	つり上げ荷重１トン以上の移動式クレーンの玉掛業務に無資格者を就労させたもの	H30.7.9送検,H30.10.6有罪確定
岩手労働局	平成31年3月31日	（有）岩手ハツリ工業	岩手県盛岡市	H30.7.10	労働安全衛生法第22条,石綿障害予防規則第６条	ビル解体工事において、吹き付けられた石綿を除去する作業場所を隔離せずに解体作業を行ったもの	H30.7.10送検,H30.11.26不起訴
岩手労働局	平成31年3月31日	（株）志田産業	岩手県大船渡市	H30.7.19	労働安全衛生法第20条,労働安全衛生規則第151条の３	フォークリフトを用いて作業を行うにあたり、あらかじめ作業計画を定めなかったもの	H30.7.19送検,H30.9.12有罪確定
岩手労働局	平成31年3月31日	（有）スタンス	岐阜県各務原市	H30.9.20	労働安全衛生法第20条,労働安全衛生規則第151条の７	トラックに接触するおそれのある箇所に労働者を立ち入らせたもの	H30.9.20送検,H31.1.22有罪確定
岩手労働局	平成31年3月31日	みちのく商事	岩手県久慈市	H30.10.4	労働安全衛生法第21条,労働安全衛生規則第537条	倉庫移設作業において、木材の落下にによる危険を防止するための必要な措置を講じていなかったもの	H30.10.4送検,H30.11.17有罪確定
岩手労働局	平成31年3月31日	（有）與羽電気工業	岩手県二戸郡一戸町	H30.10.12	最低賃金法第４条	労働者４名に、１か月間の定期賃金合計約32万円を支払わなかったもの	H30.10.12送検,H30.10.26不起訴
岩手労働局	平成31年3月31日	（有）川崎重機	岩手県一関市	H30.10.19	労働安全衛生法第20条,労働安全衛生規則第155条	車両系建設機械を使用する作業において、あらかじめ作業計画を定めていなかったもの	H30.10.19送検,H30.12.18有罪確定
岩手労働局	平成31年3月31日	共栄板金工業（株）	岩手県九戸郡洋野町	H31.2.4	労働安全衛生法第21条,労働安全衛生規則第524条	スレート屋根の吹き替え作業を行うにあたり、屋根上に歩み板等を設けることなく、作業を行わせたもの	H31.2.4送検
岩手労働局	平成31年3月31日	刈屋建設（株）	岩手県宮古市	H31.2.4	労働安全衛生法第31条,労働安全衛生規則第654条	墜落の危険のある架設通路に手すり等必要な設備を設けていなかったもの	H31.2.4送検
岩手労働局	平成31年3月31日	北城重機興業（有）	青森県八戸市	H31.2.4	労働安全衛生法第20条,労働安全衛生規則第552条	墜落の危険のある架設通路に手すり等必要な設備を設けていなかったもの	H31.2.4送検
岩手労働局	平成31年3月31日	三陸土建（株）	岩手県盛岡市	H31.3.14	労働安全衛生法第14条,労働安全衛生法施行令第６条,労働安全衛生規則第374条	土止め支保工の解体作業において、土止め支保工作業主任者が選任されていなかったもの	H31.3.14送検
岩手労働局	平成31年3月31日	（有）陸高商事	岩手県陸前高田市	H31.3.19	最低賃金法第４条	労働者23名に、１か月間の定期賃金合計約217万円を支払わなかったもの	H31.3.19送検
岩手労働局	平成31年3月31日	豊島建設（株）	岩手県大船渡市	H31.3.27	労働安全衛生法第21条,労働安全衛生規則第519条	高さ２メートル以上の開口部に手すり等必要な設備を設けていなかったもの	H31.3.27送検
宮城労働局	平成31年3月31日	まるじんストアー	宮城県加美郡加美町	H30.9.18	最低賃金法第４条	労働者７名に、６か月間の定期賃金合計約63万円を支払わなかったもの	H30.9.18送検
宮城労働局	平成31年3月31日	（株）オオウチ工芸	宮城県仙台市若林区	H30.11.1	労働基準法第32条	労働者28名に、36協定の締結なく、違法な時間外労働を行わせたもの	H30.11.1送検
宮城労働局	平成31年3月31日	白鳥産業	宮城県栗原市	H30.11.9	労働安全衛生法第61条,労働安全衛生法施行令第20条,クレーン等安全規則第68条	無資格者の労働者に移動式クレーンを運転させたもの	H30.11.9送検
宮城労働局	平成31年3月31日	（有）ｉ’ｚｆｉｔｔｉｎｇｓ	宮城県仙台市宮城野区	H31.1.16	労働安全衛生法第21条,労働安全衛生規則第519条	高さ3.4ｍの作業床に墜落防止措置を講じることなく労働者に作業を行わせたもの	H31.1.16送検
宮城労働局	平成31年3月31日	リリー商会	宮城県気仙沼市	H31.3.8	労働安全衛生法第21条,労働安全衛生規則第479条	一定の合図を定めることなく労働者に伐木作業を行わせたもの	H31.3.8送検
宮城労働局	平成31年3月31日	東北ドック鉄工（株）	宮城県塩釜市	H31.3.12	労働安全衛生法第20条,労働安全衛生規則第151条の14	フォークリフトを、主たる用途以外の用途に使用したもの	H31.3.12送検
宮城労働局	平成31年3月31日	（株）カルヤード	宮城県石巻市	H31.3.14	労働安全衛生法第20条,労働安全衛生規則第564条	安全帯等の墜落防止措置を講じることなく労働者に張出し足場の組み立て作業を行わせたもの	H31.3.14送検
秋田労働局	平成31年3月31日	（株）東環	秋田県秋田市	H31.3.1	労働安全衛生法第20条,労働安全衛生規則第164条	労働者に車両系建設機械を本来の用途以外の用途（荷のつり上げ等）に使用させたもの	H31.3.1送検
山形労働局	平成31年3月31日	（株）丸羽ロジテック	茨城県ひたちなか市	H30.9.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ9.95ｍの搬出口付近で作業を行わせるに際し、囲いを設ける等の措置を講じなかったもの	H30.9.13送検
山形労働局	平成31年3月31日	（株）タカマサフーズ	山形県最上郡真室川町	H30.9.20	最低賃金法第４条	労働者４名に、11か月間の定期賃金合計約238万円を支払わなかったもの	H30.9.20送検
山形労働局	平成31年3月31日	（株）現代民家	山形県酒田市	H30.11.12	労働安全衛生法第31条,労働安全衛生規則第653条	下請負人の労働者に、高さ約３ｍの作業床の端で作業を行わせるに際し、囲い等を設けなかったもの	H30.11.12送検
山形労働局	平成31年3月31日	佐藤住建	山形県鶴岡市	H30.11.12	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの作業床の端で柱の取り付け作業を行わせるに際し、囲い等を設けなかったもの	H30.11.12送検
山形労働局	平成31年3月31日	羽前絹練（株）	山形県鶴岡市	H30.12.18	労働安全衛生法第20条,労働安全衛生規則第144条	ロールプレス機のロールに付着した汚れの拭取り作業を行わせる際に、囲いガイドロール等を設けなかったもの	H30.12.18送検
山形労働局	平成31年3月31日	吉田工務店	山形県長井市	H31.2.13	労働安全衛生法第21条,労働安全衛生規則第519条	高さ3.5ｍの作業床の端で結束バンドを切る作業を行わせるに際し、安全帯を使用させる等の措置を講じなかったもの	H31.2.13送検
山形労働局	平成31年3月31日	（同）小野重機	山形県新庄市	H31.2.13	労働安全衛生法第20条,クレーン等安全規則第66条の２	移動式クレーンで作業を行わせる際、作業方法等をあらかじめ定めていなかったもの	H31.2.13送検
福島労働局	平成31年3月31日	（有）イーズ・サービス	福島県郡山市	H30.9.20	労働安全衛生法第20条,労働安全衛生規則第151条の13	フォークリフトの乗車席以外の箇所に労働者を乗車させたもの	H30.9.20送検
福島労働局	平成31年3月31日	東栄架設	福島県白河市	H30.10.11	労働基準法第62条,年少者労働基準規則第８条	満18歳に満たない者に、禁止されている足場の解体作業を行わせたもの	H30.10.11送検
福島労働局	平成31年3月31日	サトウ加工（有）	福島県須賀川市	H30.11.8	労働安全衛生法第66条,労働安全衛生規則第44条	労働者に対し、１年以内ごとに１回、定期に、法定の項目について医師による健康診断を受診させなかったもの	H30.11.8送検
福島労働局	平成31年3月31日	（株）新栄建設	福島県郡山市	H31.2.8	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H31.2.8送検
福島労働局	平成31年3月31日	（株）葉山商会	福島県郡山市	H31.2.19	労働安全衛生法第20条,クレーン等安全規則第74条	クレーン機能付きドラグ・ショベルの上部旋回体の旋回範囲内に労働者を立ち入らせたもの	H31.2.19送検
福島労働局	平成31年3月31日	（株）銀嶺食品	福島県福島市	H31.3.7	労働安全衛生法第20条,労働安全衛生規則第257条	危険物を取り扱う設備の異常を認めたにも関わらず、作業指揮者に修理等必要な措置を講じさせなかったもの	H31.3.7送検
福島労働局	平成31年3月31日	（株）商報舎	東京都中央区	H31.3.8	労働安全衛生法第65条,労働安全衛生法施行令第21条,酸素欠乏症等防止規則第３条,労働者派遣法第45条	酸素欠乏危険場所で作業を開始する前に、当該作業場における空気中の酸素濃度の測定を怠ったもの	H31.3.8送検
福島労働局	平成31年3月31日	大匠建設（株）	東京都港区	H31.3.8	最低賃金法第４条	労働者９名に、３か月間の定期賃金合計約310万円を支払わなかったもの	H31.3.8送検
福島労働局	平成31年3月31日	（株）スタンウェーブ	福島県いわき市	H31.3.11	最低賃金法第４条	労働者１名に、１か月間の定期賃金を支払わなかったもの	H31.3.11送検
福島労働局	平成31年3月31日	（株）ミキグリーン	福島県いわき市	H31.3.20	最低賃金法第４条	労働者２名に、２か月間の定期賃金を支払わなかったもの	H31.3.20送検
茨城労働局	平成31年3月31日	美穂運輸（株）　筑西営業所	茨城県筑西市	H30.7.6	労働基準法第32条	労働者３名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.7.6 送検
茨城労働局	平成31年3月31日	Ｌ＆Ｍ	茨城県下妻市	H30.7.18	労働基準法第101条	労働者基準監督官が臨検した際に、虚偽の賃金台帳及びタイムカードを提出したもの	H30.7.18 送検
茨城労働局	平成31年3月31日	松田建築解体	茨城県結城郡八千代町	H30.8.15	労働安全衛生法第21条,労働安全衛生規則第519条	高さ２ｍ以上の作業床の端で、墜落防止措置をとることなく労働者に作業を行わせたもの	H30.8.15 送検
茨城労働局	平成31年3月31日	茨城宝栄工業（株）	茨城県古河市	H30.9.21	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.9.21 送検
茨城労働局	平成31年3月31日	忠伸建築	茨城県那珂市	H30.10.17	労働安全衛生法第21条,労働安全衛生規則第518条	高さ２ｍ以上の足場板上で、防網を張る等の墜落防止措置を講じず、作業を行わせていたもの	H30.10.17送検
茨城労働局	平成31年3月31日	（株）嘉和	茨城県古河市	H30.11.1	労働基準法第32条	労働者１名に、36協定を締結していないにもかかわらず、違法な時間外労働を行わせたもの	H30.11.1 送検
茨城労働局	平成31年3月31日	（同）冨田工業	茨城県小美玉市	H30.12.10	労働安全衛生法第21条,労働安全衛生規則第361条	地山の崩壊等による危険の防止措置を講じないまま、労働者に明り掘削作業を行わせていたもの	H30.12.10送検
茨城労働局	平成31年3月31日	（株）トラバース　埼玉営業所	埼玉県戸田市	H30.12.10	労働安全衛生法第20条,労働安全衛生規則第101条	地盤調査機の回転軸に覆い等を設けることなく労働者に作業を行わせたもの	H30.12.10送検
茨城労働局	平成31年3月31日	前田建築	茨城県那珂郡東海村	H31.1.17	労働安全衛生法第21条,労働安全衛生規則第518条	高さ２ｍ以上の足場板上で、防網を張る等の墜落防止措置を講じず、作業を行わせていたもの	H31.1.17 送検
茨城労働局	平成31年3月31日	（株）オルト	茨城県神栖市	H31.1.18	最低賃金法第４条	労働者14名に、１か月間の定期賃金合計約118万円を支払わなかったもの	H31.1.18 送検
茨城労働局	平成31年3月31日	鹿島港湾運送（株）	茨城県神栖市	H31.2.1	労働安全衛生法第20条,クレーン等安全規則第74条の２	移動式クレーンによってつり上げられた荷の下に労働者を立ち入らせたもの	H31.2.1 送検
茨城労働局	平成31年3月31日	（有）糸賀建設興業	茨城県稲敷郡河内町	H31.2.20	労働安全衛生法第20条,労働安全衛生規則第158条	運転中の車両系建設機械に接触するおそれのある箇所に労働者を立ち入らせたもの	H31.2.20 送検
茨城労働局	平成31年3月31日	（医）筑三会	茨城県つくば市	H31.3.1	労働安全衛生法第22条,電離放射線障害防止規則第５条	皮膚に受ける等価線量が法定基準の500ミリシーベルトを超えて、労働者にエックス線装置を使用させたもの	H31.3.1 送検
茨城労働局	平成31年3月31日	（株）ミクニテック	茨城県古河市	H31.3.7	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H31.3.7 送検
茨城労働局	平成31年3月31日	Ｎ'sメタル	茨城県小美玉市	H31.3.19	労働安全衛生法第20条,クレーン等安全規則第23条	クレーンの定格荷重をこえる荷重をかけて使用していたもの	H31.3.19 送検
栃木労働局	平成31年3月31日	杉本産業（株）	栃木県小山市	H30.9.4	労働安全衛生法第23条,労働安全衛生規則第540条	１階から２階作業場へ通ずる階段について、墜落防止措置を講じることなく、通路として使用させていたもの	H30.9.4送検
栃木労働局	平成31年3月31日	（株）加藤工業所　栃窪工場	栃木県鹿沼市	H30.9.13	労働安全衛生法第20条,労働安全衛生規則第151条の78	コンベヤーについて労働者の身体の一部が巻きこまれるおそれがあるのに、非常停止装置を備えていなかったもの	H30.9.13送検
栃木労働局	平成31年3月31日	竹内産業（株）　足利工場	栃木県足利市	H30.12.7	労働安全衛生法第20条,労働安全衛生規則第107条	プラスチック製品製造機械の運転を停止させることなく、労働者に当該機械の掃除の作業を行わせたもの	H30.12.7送検
栃木労働局	平成31年3月31日	（株）三愛ビルサービス	栃木県宇都宮市	H31.1.10	労働安全衛生法第22条,労働安全衛生規則第576条	温泉貯湯槽内を十分に換気するといった措置を講じることなく、労働者に温泉水等除去作業を行わせたもの	H31.1.10送検
栃木労働局	平成31年3月31日	（株）復興御宿富双江葉大馬鬼怒川秘極の湯風	栃木県日光市	H31.3.20	最低賃金法第４条	労働者２名に、１か月間から２か月間の定期賃金合計約45万円を支払わなかったもの	H31.3.20送検
栃木労働局	平成31年3月31日	増山貨物自動車（株）　本社営業所	栃木県宇都宮市	H31.3.20	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生した際、虚偽の労働者死傷病報告書を提出したもの	H31.3.20送検
群馬労働局	平成31年3月31日	（株）セイエイ	埼玉県比企郡嵐山町	H30.7.4	労働安全衛生法第21条,労働安全衛生規則第524条	高さ4.25ｍの屋根上で、踏み抜きによる墜落防止措置を講じることなく、労働者に作業をさせたもの	H30.7.4送検, H30.12.25有罪確定
群馬労働局	平成31年3月31日	（株）笛木製菓	群馬県利根郡みなかみ町	H31.1.9	最低賃金法第４条	労働者７名に、８カ月間の定期賃金合計約846万円を支払わなかったもの	H31.1.9送検
群馬労働局	平成31年3月31日	（有）武京商会	群馬県前橋市	H31.2.20	労働安全衛生法第20条,労働安全衛生規則第101条	機械のチェーンに覆い等を設けなかったもの	H31.2.20送検
群馬労働局	平成31年3月31日	（合）サード	群馬県高崎市	H31.3.7	最低賃金法第４条	労働者７名に、２カ月間の定期賃金合計約130万円を支払わなかったもの	H31.3.7送検
群馬労働局	平成31年3月31日	（有）フルフィル	群馬県桐生市	H31.3.8	最低賃金法第４条	労働者３名に、４カ月間の定期賃金合計約86万円を支払わなかったもの	H31.3.8送検
群馬労働局	平成31年3月31日	（株）サンワ	群馬県吾妻郡東吾妻町	H31.3.22	労働基準法32条	労働者５名に36協定の延長時間を超えて違法な時間外労働を行わせたもの	H31.3.22送検
埼玉労働局	平成31年3月31日	（有）羽山興業	千葉県千葉市中央区	H30.6.5	労働安全衛生法第61条,労働安全衛生法施行令第20条	フォークリフトを無資格で運転したもの	H30.6.5送検
埼玉労働局	平成31年3月31日	（株）木下フレンド	埼玉県所沢市	H30.9.11	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者にフォークリフトを運転させたもの	H30.9.11送検
埼玉労働局	平成31年3月31日	（有）サッケン	埼玉県入間市	H30.9.19	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの開口部に囲い等を設けることなく労働者に作業を行わせたもの	H30.9.19送検
埼玉労働局	平成31年3月31日	中央ブレーキ製作所	埼玉県越谷市	H30.9.19	労働安全衛生法第55条,労働安全衛生法施行令第16条	石綿を重量の約26パーセント含有するブレーキライニングを製造したもの	H30.9.19送検
埼玉労働局	平成31年3月31日	テックエンジニアリング（有）	埼玉県熊谷市	H30.10.17	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約2.6ｍの作業床の端及び開口部に、手すり、覆い等を設けることなく労働者に作業を行わせたもの	H30.10.17送検
埼玉労働局	平成31年3月31日	末吉工業（株）	埼玉県北足立郡伊奈町	H31.1.9	労働基準法第32条	労働者５名に、違法な時間外労働を行わせたもの	H31.1.9送検
埼玉労働局	平成31年3月31日	（株）トウエイ	埼玉県川口市	H31.1.11	最低賃金法第４条	労働者13名に、４か月分の定期賃金合計430万円を支払わなかったもの	H31.1.11送検
埼玉労働局	平成31年3月31日	（有）キング	埼玉県秩父市	H31.3.6	最低賃金法第４条	労働者２名に、１か月分の定期賃金合計約７万円を支払わなかったもの	H31.3.6送検
千葉労働局	平成31年3月31日	（有）ケーアイコーポレーション	千葉県木更津市	H30.7.13	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生した際、虚偽の労働者死傷病報告書を提出したもの	H30.7.13送検
千葉労働局	平成31年3月31日	（株）協立工業	千葉県君津市	H30.7.13	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出していなかったもの	H30.7.13送検
千葉労働局	平成31年3月31日	（有）鈴木安太郎商店	千葉県旭市	H31.1.10	労働安全衛生法第20条,労働安全衛生規則第107条	魚類加工用機械の掃除を行わせるに当たり、当該機械の運転を停止させなかったもの	H31.1.10送検
千葉労働局	平成31年3月31日	（株）フルカウント	千葉県千葉市花見川区	H31.1.10	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出していなかったもの	H31.1.10送検
千葉労働局	平成31年3月31日	（有）アクトコーポレーション	千葉県東金市	H31.1.11	労働基準法第32条	労働者１名に、36協定の締結・届出なく違法な時間外労働を行わせていたもの	H31.1.11送検
千葉労働局	平成31年3月31日	北島塗装店	千葉県四街道市	H31.2.12	労働安全衛生法第21条,労働安全衛生規則第519条	高さ6.59ｍの屋根の端に手すり等を設けることなく労働者に作業を行わせたもの	H31.2.12送検
千葉労働局	平成31年3月31日	キムラ工業（株）	千葉県市川市	H31.2.19	労働安全衛生法第20条,労働安全衛生規則第151条の78	コンベヤーに労働者の身体の一部が巻き込まれるおそれがあるのに非常停止装置を備えていなかったもの	H31.2.19送検
千葉労働局	平成31年3月31日	（株）ピュアディッシュ	千葉県千葉市美浜区	H31.3.27	労働安全衛生法第20条,労働安全衛生規則第107条	食品加工用機械の殺菌洗浄後の水滴拭き取り作業を行わせるに当たり、当該機械の運転を停止させなかったもの	H31.3.27送検
東京労働局	平成31年3月31日	（株）イーエスピー	東京都羽村市	H30.7.20	労働基準法第32条	労働者８名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.7.20送検, H30.8.3起訴, H30.8.18有罪確定
東京労働局	平成31年3月31日	（株）不二興建	埼玉県八潮市	H30.8.10	労働安全衛生法第100条,労働安全衛生規則第97条	休業約２か月間の労働災害が発生したが、遅滞なく労働者死傷病報告書を提出しなかったもの	H30.8.10送検
東京労働局	平成31年3月31日	宿利工務店（株）	埼玉県さいたま市桜区	H30.8.17	労働安全衛生法第100条,労働安全衛生規則第97条	休業約３か月間の労働災害が発生したが、遅滞なく労働者死傷病報告書を提出しなかったもの	H30.8.17送検
東京労働局	平成31年3月31日	（株）リバイブ	東京都江戸川区	H30.9.13	労働安全衛生法第20条,労働安全衛生規則第164条	車両系建設機械（ブレーカ）を用いて作業を行わせるに当たり、主たる用途以外の用途に使用させていたもの	H30.9.13送検
東京労働局	平成31年3月31日	（有）奥原工芸	東京都江戸川区	H30.11.9	労働安全衛生法第20条,労働安全衛生規則第123条	木材加工用丸のこ盤を使用させるに当たり、歯の接触予防装置を設けないで使用させていたもの	H30.11.9送検
東京労働局	平成31年3月31日	ジャパンプロテクション（株）	東京都千代田区	H30.11.9	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H30.11.9送検
東京労働局	平成31年3月31日	（株）大和建設	東京都葛飾区	H30.11.15	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約３ｍの２階開口部で、手すり等を設けることなく労働者に作業を行わせたもの	H30.11.15送検
東京労働局	平成31年3月31日	（株）大実製作所	東京都品川区	H30.11.29	労働安全衛生法第20条,労働安全衛生規則第101条	ＮＣ旋盤機を用いて作業を行わせるに当たり、回転部分に、覆い、囲い等を設けないで使用させていたもの	H30.11.29送検
東京労働局	平成31年3月31日	高田電設（株）	東京都新宿区	H30.12.12	労働安全衛生法第20条,労働安全衛生規則第369条	土止め支保工の構造について、地山に係る形状、地質等の状態に応じた堅固なものとしていなかったもの	H30.12.12送検
